City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Luganville,90,VU,1570551458,83,-15.51,167.18,78.8,11.41
Isangel,20,VU,1570551459,94,-19.55,169.27,68.0,12.53
Beloha,0,MG,1570551459,21,-25.17,45.06,90.33,12.12
Bluff,50,AU,1570551460,27,-23.58,149.07,74.68,9.4
Xian,75,ES,1570551461,93,42.76,-8.49,69.01,9.17
Upernavik,100,GL,1570551461,48,72.79,-56.15,29.31,6.76
Port Elizabeth,1,US,1570551462,59,39.31,-74.98,66.0,16.11
Rrogozhine,0,AL,1570551462,46,41.08,19.67,69.8,6.93
New Norfolk,40,AU,1570551464,70,-42.78,147.06,44.6,8.05
Varnavino,100,RU,1570551465,89,61.19,46.56,34.71,16.96
Umm Kaddadah,26,SD,1570551465,27,13.6,26.69,94.12,5.69
Perpignan,0,FR,1570551465,73,42.7,2.88,75.99,9.17
Hamilton,40,CA,1570551466,76,43.26,-79.87,64.0,6.93
Callaway,1,US,1570551466,48,46.98,-95.91,61.0,17.22
Lupiro,8,TZ,1570551466,44,-8.39,36.67,86.74,7.53
Punta Arenas,75,CL,1570551466,45,-53.16,-70.91,46.4,33.33
Aswan,38,EG,1570551466,16,24.09,32.9,104.0,4.7
Fairbanks,90,US,1570551467,86,64.84,-147.72,32.0,4.7
Ushuaia,75,AR,1570551181,86,-54.81,-68.31,41.0,23.04
Rikitea,100,PF,1570551467,80,-23.12,-134.97,67.47,9.31
Cape Town,75,ZA,1570551467,63,-33.93,18.42,66.99,10.29
Novikovo,21,RU,1570551467,66,51.15,37.89,38.85,5.77
Magdalena Milpas Altas,75,GT,1570551467,73,14.55,-90.68,73.4,4.7
Hithadhoo,0,MV,1570551468,72,-0.6,73.08,81.87,11.92
Kaitangata,100,NZ,1570551468,91,-46.28,169.85,48.99,4.0
Jamestown,0,AU,1570551468,85,-33.21,138.6,38.68,8.43
Skibbereen,20,IE,1570551468,76,51.55,-9.27,53.6,19.46
Mutsu,20,JP,1570551469,58,41.29,141.2,57.2,23.04
Hobart,40,AU,1570551469,70,-42.88,147.33,44.6,8.05
East London,25,ZA,1570551469,72,-33.02,27.91,66.2,6.93
Porto Novo,75,BR,1570551469,73,-23.68,-45.44,71.6,4.7
Port Alfred,0,ZA,1570551469,83,-33.59,26.89,66.0,12.19
Mataura,100,NZ,1570551470,97,-46.19,168.86,50.0,1.99
Avarua,100,CK,1570551470,60,-21.21,-159.78,69.8,5.82
Klaksvik,75,FO,1570551470,100,62.23,-6.59,48.2,24.16
Norman Wells,75,CA,1570551470,92,65.28,-126.83,26.6,3.36
Northam,95,AU,1570551470,72,-31.65,116.67,62.6,8.05
Chapais,90,CA,1570551235,75,49.78,-74.86,42.8,10.29
Barrow,33,AR,1570551471,38,-38.31,-60.23,62.26,14.29
Sterling,75,US,1570551471,67,39.0,-77.4,64.99,4.7
Bethel,90,US,1570551471,93,60.79,-161.76,44.6,8.05
Zonalnaya Stantsiya,30,RU,1570551471,89,56.43,85.02,48.99,8.95
Koumac,78,NC,1570551471,85,-20.56,164.28,62.26,3.49
Svetlogorsk,100,RU,1570551472,57,53.14,59.15,48.2,4.47
Krasnyy Chikoy,0,RU,1570551472,83,50.36,108.75,37.59,4.21
Hualmay,100,PE,1570551472,88,-11.1,-77.61,59.73,12.88
Albany,75,US,1570551354,55,42.65,-73.75,64.0,4.7
Ahipara,22,NZ,1570551472,100,-35.17,173.16,48.99,8.05
Saldanha,97,PT,1570551473,39,41.42,-6.55,80.43,8.14
Palmer,40,AU,1570551473,62,-34.85,139.16,52.0,4.7
Saint-Ambroise,75,CA,1570551473,81,48.56,-71.32,55.0,8.05
Teguise,20,ES,1570551474,58,29.06,-13.56,82.4,13.87
Souillac,90,FR,1570551474,93,45.6,-0.6,70.0,11.41
Saint George,90,GR,1570551474,100,39.45,22.34,62.6,6.93
Patea,68,NZ,1570551474,95,-39.76,174.48,53.01,8.01
Formosa do Rio Preto,19,BR,1570551475,25,-11.04,-45.19,96.28,6.35
Carnarvon,0,ZA,1570551475,10,-30.97,22.13,79.71,13.78
Esperance,94,AU,1570551475,71,-33.86,121.89,55.4,11.41
Mehamn,40,NO,1570551476,76,71.03,27.85,39.2,3.36
Puerto Ayora,40,EC,1570551476,64,-0.74,-90.35,75.2,20.8
Waingapu,0,ID,1570551476,81,-9.65,120.26,79.18,13.65
Mar del Plata,85,AR,1570551476,36,-46.43,-67.52,53.61,21.34
Najran,0,SA,1570551288,21,17.54,44.22,84.2,9.17
Hambantota,40,LK,1570551477,100,6.12,81.12,75.2,2.24
Nikolskoye,40,RU,1570551477,81,59.7,30.79,41.0,11.18
Hervey Bay,37,AU,1570551477,88,-25.3,152.85,71.01,4.7
Arraial do Cabo,40,BR,1570551477,78,-22.97,-42.02,80.6,10.29
Kasongo-Lunda,71,CD,1570551477,59,-6.48,16.82,83.32,3.66
Castro,75,CL,1570551478,66,-42.48,-73.76,51.8,4.7
Hami,54,CN,1570551478,23,42.84,93.51,59.38,2.28
Hermanus,0,ZA,1570551479,67,-34.42,19.24,66.99,10.0
Kodiak,1,US,1570551479,45,39.95,-94.76,66.2,13.87
Morgan City,90,US,1570551479,83,29.7,-91.21,79.0,8.05
Monrovia,75,LR,1570551479,94,6.33,-10.8,77.0,9.17
Hay River,90,CA,1570551480,86,60.82,-115.79,30.2,26.4
Ribeira Grande,40,PT,1570551480,60,38.52,-28.7,69.8,18.34
Kavieng,50,PG,1570551480,71,-2.57,150.8,84.57,9.15
Mumford,100,GH,1570551480,88,5.26,-0.76,78.63,5.79
Constitucion,5,MX,1570551480,48,23.99,-104.67,66.0,1.94
Busselton,100,AU,1570551481,51,-33.64,115.35,61.0,18.77
Butaritari,100,KI,1570551481,64,3.07,172.79,85.47,8.59
Ponta do Sol,99,BR,1570551481,83,-20.63,-46.0,69.81,6.38
Alofi,100,NU,1570551483,73,-19.06,-169.92,73.4,5.82
Lebu,59,ET,1570551483,79,8.96,38.73,59.02,6.74
Vaini,30,IN,1570551484,85,15.34,74.49,77.19,1.3
Khatanga,62,RU,1570551484,92,71.98,102.47,17.97,7.43
Kapaa,40,US,1570551484,88,22.08,-159.32,75.2,8.05
Puerto Escondido,75,MX,1570551484,69,15.86,-97.07,80.6,2.08
Tautira,75,PF,1570551484,78,-17.73,-149.15,75.2,3.36
Totskoye,67,RU,1570551484,52,52.53,52.75,43.71,2.08
Cap Malheureux,75,MU,1570551485,69,-19.98,57.61,73.4,12.75
Qumaym,43,JO,1570551485,48,32.57,35.73,83.49,8.77
Port Lincoln,2,AU,1570551485,67,-34.72,135.86,53.79,12.06
Richards Bay,0,ZA,1570551485,80,-28.77,32.06,70.17,10.87
Kruisfontein,0,ZA,1570551487,75,-34.0,24.73,63.88,6.46
Torbay,90,CA,1570551488,82,47.66,-52.73,64.0,19.46
Port Moresby,99,PG,1570551488,84,-9.47,147.16,75.22,21.3
Kodinar,0,IN,1570551489,76,20.79,70.7,80.43,8.84
Weligama,100,LK,1570551352,77,5.97,80.42,82.41,10.38
Nome,90,US,1570551489,77,30.04,-94.42,75.99,6.93
Prince Rupert,1,CA,1570551489,64,54.32,-130.32,37.4,9.17
Berlevag,75,NO,1570551489,86,70.86,29.09,37.4,17.22
Airai,0,TL,1570551490,82,-8.93,125.41,69.09,3.78
Santa Rosalia,0,IT,1570551490,64,38.07,13.27,73.0,18.34
Brownsville,40,US,1570551490,58,25.91,-97.49,87.8,11.41
Acapulco,75,MX,1570551490,74,16.86,-99.88,86.0,3.36
Wuda,78,CN,1570551490,34,39.5,106.72,56.86,7.4
Rio Gallegos,75,AR,1570551492,29,-51.62,-69.22,50.0,32.21
Biak,55,ID,1570551492,76,-0.91,122.88,79.72,11.87
Sungairaya,96,ID,1570551492,72,0.7,108.9,82.41,6.49
San Jose,20,HN,1570551492,65,14.25,-87.96,82.4,4.7
Hilo,90,US,1570551493,83,19.71,-155.08,75.2,4.7
Clyde River,20,CA,1570551493,92,70.47,-68.59,30.2,3.36
Faanui,62,PF,1570551493,84,-16.48,-151.75,77.19,21.34
Waitati,100,NZ,1570551493,94,-45.75,170.57,50.0,11.01
Lompoc,90,US,1570551488,100,34.64,-120.46,61.0,3.36
Bechem,100,GH,1570551494,98,7.09,-2.02,71.62,3.78
Henties Bay,20,NA,1570551494,87,-22.12,14.28,63.0,5.99
Wajir,40,KE,1570551494,38,1.75,40.07,91.4,10.4
Bara,55,NG,1570551494,67,10.41,10.6,83.13,8.43
Slavonice,90,AT,1570551495,93,49.0,15.35,57.0,11.41
Oistins,20,BB,1570551495,66,13.07,-59.53,87.8,19.46
Chuy,0,UY,1570551495,55,-33.69,-53.46,69.46,6.33
Tasiilaq,75,GL,1570551495,56,65.61,-37.64,42.8,4.7
Bani Walid,80,LY,1570551495,33,31.76,14.0,74.68,2.65
Mfou,75,CM,1570551496,69,3.72,11.64,82.4,9.17
Tahoua,75,NE,1570551496,41,14.89,5.26,95.0,9.17
El Paraiso,100,HN,1570551496,9,15.02,-88.98,80.01,1.25
Kaeo,0,NZ,1570551496,100,-35.1,173.78,48.99,3.85
Kamen-Rybolov,65,RU,1570551496,58,44.75,132.04,42.1,12.37
San Patricio,0,PY,1570551497,43,-26.98,-56.83,80.97,5.53
Kahului,1,US,1570551497,72,20.89,-156.47,75.99,10.63
Husavik,0,CA,1570551497,55,50.56,-96.99,57.99,10.0
Saint-Philippe,1,CA,1570551497,63,45.36,-73.48,60.8,6.69
Yeniseysk,86,RU,1570551498,81,58.45,92.17,35.8,4.44
Lagoa,0,PT,1570551498,65,37.14,-8.45,80.01,4.7
Trinidad,20,BO,1570551251,69,-14.83,-64.9,80.6,3.36
Te Anau,100,NZ,1570551498,97,-45.41,167.72,46.24,1.59
Tiksi,100,RU,1570551498,84,71.64,128.87,23.38,16.6
Fortuna,90,US,1570551337,93,40.6,-124.16,55.0,3.36
Kungurtug,0,RU,1570551499,70,50.6,97.53,36.33,2.95
Ambilobe,92,MG,1570551503,55,-13.19,49.05,80.07,18.86
Pavlovka,100,RU,1570551503,79,52.69,47.13,41.74,11.84
Phulabani,98,IN,1570551503,95,20.47,84.23,71.07,3.31
Dukat,82,AL,1570551504,69,40.25,19.57,68.0,6.51
Portland,75,US,1570551000,55,43.66,-70.25,63.0,12.75
Angoram,2,PG,1570551504,96,-4.06,144.07,75.21,2.44
Prigrevica,0,RS,1570551504,38,45.68,19.09,59.0,6.93
Ilulissat,5,GL,1570551504,44,69.22,-51.1,32.0,5.41
Ruteng,0,ID,1570551505,88,-8.61,120.46,70.35,2.17
Kargat,0,RU,1570551505,81,55.19,80.28,49.66,5.42
Kudahuvadhoo,98,MV,1570551505,77,2.67,72.89,81.69,10.8
Manzhouli,1,CN,1570551505,60,49.6,117.43,45.15,10.2
San Cristobal,88,HN,1570551505,80,14.68,-86.92,74.49,3.38
Mount Isa,0,AU,1570551506,15,-20.73,139.49,77.0,14.99
Yenagoa,100,NG,1570551506,93,4.92,6.26,74.85,5.66
Yar-Sale,100,RU,1570551506,78,66.83,70.83,34.17,13.33
Bredasdorp,0,ZA,1570551507,40,-34.53,20.04,71.6,16.11
Vila,20,IT,1570551507,55,45.18,8.4,68.0,2.24
Chokurdakh,87,RU,1570551507,99,70.62,147.9,9.15,1.39
Sheltozero,100,RU,1570551507,88,61.37,35.37,34.89,16.31
Lorengau,4,PG,1570551507,86,-2.02,147.27,78.99,4.43
Iwaki,96,JP,1570551508,52,37.05,140.89,66.0,3.0
Kijang,0,KR,1570551508,58,35.24,129.21,55.4,11.41
Georgetown,75,GY,1570551508,66,6.8,-58.16,89.6,13.87
North Bend,90,US,1570551508,100,43.41,-124.22,55.0,6.93
Morant Bay,20,JM,1570551508,62,17.88,-76.41,89.6,17.22
Segamat,75,MY,1570551509,88,2.51,102.82,78.8,3.36
Pagudpud,75,PH,1570551509,83,18.56,120.79,80.6,14.99
Borgarnes,100,IS,1570551509,71,64.54,-21.92,55.0,3.36
Kathmandu,75,NP,1570551509,88,27.71,85.32,68.0,3.36
Geraldton,20,CA,1570551509,71,49.72,-86.95,51.8,14.99
Maniitsoq,1,GL,1570551510,42,65.42,-52.9,37.06,2.86
Rumphi,96,MW,1570551510,28,-11.02,33.86,81.87,11.25
Dikson,0,RU,1570551510,73,73.51,80.55,22.66,6.42
Qaanaaq,100,GL,1570551511,72,77.48,-69.36,19.59,11.3
Saskylakh,54,RU,1570551511,96,71.97,114.09,15.27,9.86
Bathsheba,20,BB,1570551511,66,13.22,-59.52,87.8,19.46
Yellowknife,75,CA,1570551352,92,62.45,-114.38,26.6,11.41
Caraballeda,40,VE,1570551511,62,10.61,-66.85,89.6,6.93
Sorong,85,ID,1570551512,96,-0.86,131.25,74.49,3.98
Vaijapur,25,IN,1570551512,70,19.92,74.72,78.27,8.12
Atuona,2,PF,1570551512,77,-9.8,-139.03,78.63,15.88
Tessalit,0,ML,1570551512,7,20.2,1.01,105.45,9.53
Cherskiy,91,RU,1570551512,96,68.75,161.3,21.93,12.17
Tigil,94,RU,1570551513,95,57.8,158.67,38.13,5.84
Paamiut,100,GL,1570551513,78,61.99,-49.67,39.75,6.89
Padang,100,ID,1570551513,86,-0.92,100.36,77.73,10.65
Navirai,100,BR,1570551513,54,-23.07,-54.19,79.53,5.32
Sobolevo,100,RU,1570551513,97,54.43,31.9,37.41,11.03
La Trinitaria,45,MX,1570551514,87,16.12,-92.05,73.41,2.84
Ostrovnoy,100,RU,1570551514,90,68.05,39.51,36.88,19.76
