City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Puerto Ayora,20,EC,1570555089,60,-0.74,-90.35,75.2,21.92
Barrow,66,AR,1570555089,37,-38.31,-60.23,64.31,13.05
Busselton,100,AU,1570555089,50,-33.64,115.35,61.0,15.1
Trogir,0,HR,1570555044,45,43.52,16.25,62.6,3.36
Enshi,53,CN,1570555089,93,30.29,109.48,55.67,5.53
Inta,84,RU,1570555090,83,66.04,60.13,38.03,7.07
Butaritari,100,KI,1570554708,63,3.07,172.79,85.55,9.82
Catuday,6,PH,1570555090,71,16.29,119.81,82.49,2.91
College,90,US,1570554893,100,64.86,-147.8,32.0,4.7
Hermanus,17,ZA,1570554657,70,-34.42,19.24,66.99,5.01
Vaini,31,IN,1570554847,88,15.34,74.49,76.01,1.83
Adre,82,TD,1570554909,60,13.47,22.2,77.27,2.3
Petropavlovsk-Kamchatskiy,98,RU,1570554874,100,53.05,158.65,35.6,8.95
Inhambane,40,MZ,1570554925,88,-23.87,35.38,78.8,16.11
Mataura,100,NZ,1570554846,97,-46.19,168.86,50.0,2.51
Ushuaia,75,AR,1570554745,91,-54.81,-68.31,41.0,23.04
Kaeo,7,NZ,1570555091,100,-35.1,173.78,48.99,6.81
Albany,75,US,1570554975,52,42.65,-73.75,64.4,3.36
Nikolskoye,75,RU,1570555091,95,59.7,30.79,41.0,8.95
Punta Arenas,75,CL,1570554741,45,-53.16,-70.91,48.0,33.33
Bhikangaon,1,IN,1570555092,76,21.87,75.96,77.99,2.62
Guilin,75,CN,1570555092,73,25.28,110.29,69.8,6.71
Kuala Terengganu,75,MY,1570555092,94,5.33,103.14,78.8,2.24
Bredasdorp,0,ZA,1570555093,48,-34.53,20.04,66.2,11.41
Arraial do Cabo,40,BR,1570554887,78,-22.97,-42.02,80.6,10.29
Vao,99,EE,1570555093,91,59.1,26.19,40.01,10.74
Carnarvon,0,ZA,1570555093,17,-30.97,22.13,68.27,11.93
Sindor,98,RU,1570555094,78,62.87,51.9,33.35,12.14
Szihalom,65,HU,1570555094,58,47.77,20.48,47.21,6.82
Lebu,73,ET,1570555095,86,8.96,38.73,52.25,4.29
Zhigansk,99,RU,1570555095,83,66.77,123.37,26.51,8.06
Katangli,100,RU,1570555095,97,51.71,143.23,47.57,15.66
Beberibe,20,BR,1570555095,48,-4.18,-38.13,87.8,23.04
Codrington,90,AU,1570555096,77,-28.95,153.24,66.2,4.7
Dikson,0,RU,1570555096,78,73.51,80.55,21.47,10.29
Raudeberg,75,NO,1570555096,81,61.99,5.14,48.99,16.11
Pangoa,6,PE,1570555097,42,-12.12,-73.0,88.25,4.07
Mahebourg,40,MU,1570555097,69,-20.41,57.7,73.4,14.99
Crotone,20,IT,1570555097,49,39.09,17.12,69.8,14.99
Honningsvag,75,NO,1570554885,71,70.98,25.97,39.2,6.93
Hilo,90,US,1570555097,83,19.71,-155.08,75.2,4.7
Serafimovich,100,RU,1570555098,92,49.58,42.73,44.01,13.52
East London,0,ZA,1570555083,72,-33.02,27.91,66.2,9.17
Hobart,90,AU,1570554853,65,-42.88,147.33,46.4,9.17
Hazorasp,0,UZ,1570555098,48,41.32,61.08,60.8,4.7
Ulladulla,40,AU,1570555098,70,-35.36,150.48,48.99,10.29
Okahandja,0,NA,1570555099,5,-21.98,16.91,87.8,10.29
Saint-Philippe,1,CA,1570555052,55,45.36,-73.48,62.6,4.7
Vaasa,90,FI,1570555099,100,63.1,21.62,37.99,3.36
Jamestown,0,AU,1570555099,90,-33.21,138.6,37.85,8.57
Rocha,0,UY,1570555099,47,-34.48,-54.34,68.81,8.23
Faya,20,SA,1570554988,28,18.39,42.45,71.6,14.99
Cape Town,75,ZA,1570555031,72,-33.93,18.42,64.0,17.22
Baruun-Urt,0,MN,1570555100,44,46.68,113.28,43.25,11.52
Rome,2,IT,1570555100,60,41.89,12.48,73.4,2.24
Daru,100,PG,1570555100,85,-9.07,143.21,73.67,6.6
Peace River,40,CA,1570555101,53,56.23,-117.29,26.6,19.46
Kapaa,1,US,1570555101,88,22.08,-159.32,73.4,5.82
Georgetown,75,GY,1570555102,62,6.8,-58.16,89.6,13.87
Atuona,5,PF,1570555102,73,-9.8,-139.03,79.07,14.88
Lazaro Cardenas,5,MX,1570555102,53,28.39,-105.62,80.01,13.87
Longyearbyen,75,NO,1570555102,93,78.22,15.63,35.6,2.13
Kodiak,1,US,1570555102,42,39.95,-94.76,68.0,14.99
Tongren,89,CN,1570555103,70,27.72,109.18,63.05,1.59
New Norfolk,90,AU,1570555103,65,-42.78,147.06,46.4,9.17
Mahibadhoo,98,MV,1570555103,69,3.78,72.97,82.67,5.01
Marawi,44,PH,1570555103,91,8.0,124.29,75.0,5.99
Porto Velho,75,BR,1570555103,62,-8.75,-63.87,86.0,5.82
